#1
trueno	thunder
martillo	hammer
arrojar	throw
tocar	touch
grito	cry, scream
rostro	face, visage
cara	face
enojado	angry
ha sido	had been
mueca	grin
alejarse	be happy
demasiado	too
torpes	clumsy
gruesa	heavy, thick, coarse, fat
peludas	hairy
ronca	hoarse
siquiera	even
devolver	return
agradece	thanks
salto	jump
------------
#2
lograr	achieve
olla	cooking pot
espesa	thick
perezosa	lazy
por ahi	over there
acaso	perhaps
enfadado	angry
golpe	knock
pegado	glued
puño	fist
patada	kick
tirado	lying [on the ground]
suelo	floor
risa	laughter
cena	dinner
sonrir	smile
labios	lips
adelante	forward
acentro	inward
pusar	press
cintura	waist

