abajo	downstairs
acá	here
acentro	inward
afuera	[on the] outside
ahora	now
ahorita	right now
algo	something
allí	there
aquel	that
arriba	upstairs
apúrense	hurry!
aunque	even though

bastante	enough

cada	each
cerca de	near
cual	which, which one?
cuando	when
cuanto	how much

debajo de	below, underneath
demás	[the] rest
dentro de	inside
desde de	since
después de	after

entonces	then, at that time

fuera	outside

lejos	far
lentamente	slowly

mientras que	while
más, mas	more, but

ni	neither, not even
nunca	never

pero	but
pronto	soon
próximo	next
pues	then, well then

quizás	perhaps

rápido	quickly

según	according to
sí, si	yes, if
siempre	always
sin	without

también	too, also
tampoco	neither
tanto	so much, so many

último	last







