¡Acuéstese!	lie down
agradece	thanks
a lo mejor	maybe

cálculos renales	kidney stones
camisa manga larga	long sleeve shirt
carne molida	ground beef
de cuerpo entero	full-length

dejar una propina	leave a tip
delante de	in front of
demás	[the] rest
dentro de un rato	in a while
desde hacìa rato	for a while
dígame si duele	tell me if it hurts
discúlpeme	excuse me [informal]
¿Dónde le duele?	where does it hurt?

en el fondo	at the bottom

las gafas del sol	sunglasses

hacía rato	a while ago

jamás	never, ever

la llanta de repuesto	spare tire

a menudo	often

nave espacial	spacecraft

¡ojalá!	I wish (that)!

pedazos de papel	pieces of paper
por ahi	over there

quizás	perhaps

de repente	suddenly

el serrucho de carpintero	carpenter's saw
Siéntese derecho	sit upright
sigue trabajando	keep working
sin embargo	nevertheless
el suelo desnudo	the bare ground

tal vez	perhaps, sometimes
tarjeta de seguro	insurance form
el tiempo compartido	time-share
Tienes que girar la llave de manera suave	you must turn the key smoothly
