el agua está frìa	the water is cold
acaso	perhaps
allí tienes	there you go
a pie	on foot
alrededor del mundo	around the world
al revèz	backward
amanecer	sunrise
animales salvajes	wild animals
aprender y enseñar	to teach and to learn
arroz silvestre	wild rice
a veces	sometimes
ayudeme	help me

el bolso de mano	carry-on
buen provecho!	enjoy your meal
buena idea	good idea

cable de alimentación	power cord
cada vez	each time
caja de herramientas	toolbox
calcetines fueras	socks off
camino despacio	walk slowly
carne de vaca	beef
cepillarse los dientes	to brush your teeth
claro que sí	yes, of course
con permiso	excuse me [in the way]
cortadoras de césped	lawnmower
creo que sì	i think so
cuando puede empezar	when can you start
cuando puedas	when you can
cuchara para servir	serving spoon

dar vuelta a la izqierda	turn left
el día había dibujado	day had drawn
un dolar	one dollar (not uno!)
¿de dónde es?	where are you from

empieza de pensar	starts thinking
en punto	o'clock
es decir	that is to say
estamos limpiando el baño	we're cleaning the bathroom
estar enferma	to be sick
estoy de acuerdo	I agree
estoy perdido	I'm lost

favor de limpiar el baño	please, clean the bathroom
favor de no poner papel en la taza	please don't put paper in the toilet bowl
fecha de nacimiento	date of birth
finalmente	finally

hablo un poco de español	I speak a little Spanish
había sido	(he) used to be [sido is pp of ser]
había una vez	once upon a time
hace viento	it's windy
hacer la cama	to make the bed
haga la conexión	make the connection

igualmente	the same here

el lavabo está atascado	the sink is clogged
leer y escribir	to read and to write
lo mismo	the same
lo siento	I'm sorry
llevar un traje	to wear a suit

mañana por la noche	tomorrow night
marido y esposa	husband and wife
mucho gusto	nice to meet you
el mueble para libros	bookcase

no entiendo	I don't understand
no lo conozco	I don't know him
no sé	I don't know
nos trae la cuenta, por favor	bring us the check, please

piso mojado	wet floor
perdoneme	pardon me (ex: for a sneeze)
por ejemplo	for example
por favor, párese	please stop
por favor, espere	please wait
por favor, apúrese	please hurry up
por fin	at last, finally
al principio	at first
puede ayudarme por favor	please help me
puede hablar mas despacio	could you speak more slowly
puede repetir eso	could you repeat that
puede repetirlo por favor	please repeat that
la puesta de sol	sunset

reírse a carcajadas	laugh out load

la salida del sol	sunrise
se puede	may I come in?
se emociona	gets excited
la señal decambios	turn signal
sin duda	without a doubt
síentese por favor	sit down, please

tarjeta de crédito	credit card
tener razón	to be right
tienda de comestibles	grocery store
tomar el tren	to take the train
tomar un trago	take a drink [alcoholic]

la última vez	the last time
una cucharada	spoon, spoonful

de veras	really
ver es creer	seeing is believing
