abrir	to open
aburrir	to bore
acabar	to finish, to end
acostarse	to go to bed
afeitarse	to shave
amar	to love
andar	to walk
annunciar	to announce
aprender	to learn
arrojar	to throw
atar	to tie
atascar	to jam, clog, bog down
ayudar	to help

bailar	to dance
bajar a	to step down
beber	to drink
buscar	to look for

caer	to fall
cambiar	to change
caminar	to walk
cepillar	to brush
cocinar	to cook
comer	to eat
comprender	to understand
conducir	to drive
conocer	to know
contar	to tell, to count
contestar	to answer
convertir	to become, to change
correr	to run
crear	to create
crecer	to grow
creer	to believe
cubrir	to cover
cumplir	to achieve, to fulfill

dar	to give
deber	to owe, ought to
decir	to say
deletrear	to spell
descubrir	to discover
dibujar	to draw
dormir	to sleep

emocionarse	to get excited
empezar	to begin
encontrar	to find
enseñar	to teach
entender	to understand [irr.]
entrar	to enter
enviar	to send
escribir	to write
escuchar	to listen to
esperar	to wait, to hope
estacionar	to park
estar	to be
estudiar	to study
exigir	to demand, to require

firmar	to sign
formar	to form, to make
fumar	to smoke

ganar	to earn, to win
girar	to turn
golpear	to hit
gustarse	to like

hablar	to speak
hacer	to do, to make [irr.]

intentar	to try
ir a	to go [irr.]

jugar	to play [irr.]

lavar	to wash
leer	to read
levantar	to get up, to raise
limpiar	to clean
llamarse	to call oneself
llegar	to arrive, to reach
llevar	to wear, take away, carry
llenar	to fill
llorar	to cry

mirar	to watch, to look at
mojar	to wet
morir	to die
mostrar	to show

nacer	to be born
nadar	to swim

odiar	to hate
oir	to hear
olvidar	to forget

parar	to stop
pasar	to happen, to pass
pedir	to ask for
pensar	to think
perder	to lose
permanecer	to stay, to remain
permitir	to permit, to allow
planchar	to iron
poder	to be able
poner	to put
preguntar	to ask
presentar	to introduce, to present
probar	to try [on]

quedar to stay
querer	to want

realizar	to achieve
recordar	to remember
reconocer	to recognize, to admit
regresar	to return

saber	to know
sacar	to take out
salir	to leave, to go out
sentar	to sit
sentir	to feel
ser	to be
servir	to serve, to function
sonrir	to smile
sorprender	to surprise
subir a to go up
suponer	to suppose

tener	to have
tirar	to pull
tocar	to touch, to play
tomar	to take
trabajar	to work
traducir	to translate
traer	to bring

vender	to sell
venir a	to come
ver	to see
vestirse	to get dressed
vivir	to live
volar	to fly
volver	to return
