la almohada	pillow
el asunto	matter, issue, affair
asustado	frightened
la barba	chin
el bosillo	pocket
el calmante	painkiller, sedative
la camilla	stretcher
capa	layer, coat
la cierre	zipper
la cobija	blanket
el colchón	mattress
el colgador	hanger
la culebra	snake
el colibri	hummingbird
el cuñado	brother in law
desarrollo	development
el destapador	bottle opener
dirección	address
dueda	debt
escabel	footstool
el emberazo	pregnancy
la empresa	firm, company
la escoba	broom
espesa	thick
la fiebre	fever
el fregadero	sink
las gafas	eyeglasses
la gana	desire
la ganga	bargain
la garganta	throat
el gerente	manager
la gorra	ballcap
el grifo	faucet
el grillo	cricket
grueso	heavy, thick, coarse, fat
el guante	glove
la hancha	hook
el hielo	ice
el hilo	thread, yarn, wire
la huella	trace, track, footstep
el huerto	orchard
el hueso	bone
la hincha	fan [sports]
el ingreso	entrance, admission, income
jornada	[working] day, shift
la lana	wool
la lengua	tongue
liso	smooth
la llanta	tire
el lujo	luxury
la maceta	flowerpot
maduro	ripe
madrugada	dawn, early morning
la manta	shawl, blanket
el mantel	tablecloth
matiz	hue
la medida	size, measurement
la mejilla	cheek
la merienda	snack
el mozo	porter, young man
la muestra	sample, proof, sign
la multa	fine [fee]
el muslo	thigh
el pañuelo	handkerchief
pista	clue
polvo	dust, powder
la prisa	hurry
la propriedad	property
el pulgar	thumb
rasgo	feature, trait
rato	moment, while, time
la renta	rent
el retraso	delay
revèz	upside down
el riñón	kidney
risa	laughter
la rodilla	knee
la rueda	wheel
las sábanas	sheets
el sello	stamp
sencillo	simple, plain
la señal	sign, mark
seno	breast, bosom, cavity
sucio	dirty
sueldo	salary, pay
suelto	loose
tal	such
el talón	heel
tampoco	neither
tamaño	size, dimension
la tapa	lid
el tazón	bowl
tela	cloth, fabric
torpes	clumsy
tobillos	ankles
vacío	empty
el venado	deer
la ventaja	advantage
